NUM_CPT,CODE_COMMUNE,CODE_SECTEUR,VILLE,CONSO_1,CONSO_0,PROFIL
ZZ93208460,2,9,ARCACHON,17,20,1 - SEGMENT P
ZZ7873390,2,9,ARCACHON,55,51,1 - SEGMENT P
ZZ93208459,2,9,ARCACHON,58,51,1 - SEGMENT P
ZZ93208454,2,9,ARCACHON,45,44,1 - SEGMENT P
ZZ93PA208455,2,9,ARCACHON,77,77,1 - SEGMENT P
ZZ91249965,2,9,ARCACHON,27,26,1 - SEGMENT P
ZZ93PA208453,2,9,ARCACHON,106,94,1 - SEGMENT P
ZZ93PA208451,2,9,ARCACHON,2,2,1 - SEGMENT P
ZZ78073391,2,9,ARCACHON,18,16,1 - SEGMENT P
ZZ78073388,2,9,ARCACHON,7,6,1 - SEGMENT P
ZZ88BA027605,2,9,ARCACHON,25,16,1 - SEGMENT P
ZZ88BA079093,2,9,ARCACHON,50,43,1 - SEGMENT P
04AB332465,2,10,ARCACHON,88,90,1 - SEGMENT P
ZZ79047486,2,10,ARCACHON,85,17,1 - SEGMENT P
ZZ83604658,2,10,ARCACHON,10,7,1 - SEGMENT P
ZZ730087960,2,10,ARCACHON,52,43,1 - SEGMENT P
04XA693314,2,10,ARCACHON,49,50,1 - SEGMENT P
ZZ745795160,2,10,ARCACHON,70,60,1 - SEGMENT P
ZZ80038700,2,10,ARCACHON,59,61,1 - SEGMENT P
ZZ88BA027625,2,10,ARCACHON,18,18,1 - SEGMENT P
ZZ745795200,2,10,ARCACHON,26,26,1 - SEGMENT P
ZZ82007549,2,10,ARCACHON,34,32,1 - SEGMENT P
ZZ88082979,2,10,ARCACHON,80,96,1 - SEGMENT P
ZZ88BA027522,2,10,ARCACHON,33,30,1 - SEGMENT P
ZZ87179535,2,10,ARCACHON,46,40,1 - SEGMENT P
ZZ88BA027524,2,10,ARCACHON,17,10,1 - SEGMENT P
ZZ88BA010688,2,10,ARCACHON,21,20,1 - SEGMENT P
ZZ88BA027523,2,10,ARCACHON,38,20,1 - SEGMENT P
ZZ86215862,2,10,ARCACHON,46,47,1 - SEGMENT P
ZZ88BA079310,2,10,ARCACHON,84,87,1 - SEGMENT P
